Date,Customer,Region,Product,Quantity,UnitPrice,Total
2023-08-20,Jamie Taylor,North,Desk Chair,5,1223719618,6118598090
2023-10-26,Jamie Wilson,Central,Laptop,17,1286740961,21874596337
2023-07-27,Alex Davis,North,Docking Station,12,191742606,2300911272
2023-08-01,Riley Moore,South,Keyboard,15,741641516,11124622740
2023-08-08,Casey Taylor,West,Keyboard,14,709884105,9938377470
2023-02-02,Casey Moore,Central,Keyboard,17,1432645757,24354977869
2023-02-03,Morgan Taylor,Central,Headset,18,1630682932,29352292776
2023-02-28,Riley Brown,West,Laptop,7,969029545,6783206815
2022-12-23,Skyler Davis,Central,Desk Chair,9,594872514,5353852626
2023-06-10,Morgan Johnson,East,Mouse,2,2112658370,4225316740
2023-08-03,Alex Lee,West,Monitor,6,685620746,4113724476
2023-08-05,Jamie Lee,South,Mouse,4,562753222,2251012888
2023-04-27,Taylor Johnson,North,Monitor,1,398385163,398385163
2023-08-11,Riley Miller,North,Docking Station,7,648624523,4540371661
2023-02-13,Chris Smith,Central,Printer,3,564124471,1692373413
2022-11-20,Morgan Davis,West,Keyboard,14,1716996912,24037956768
2022-11-19,Morgan Wilson,Central,Webcam,10,675104801,6751048010
2023-10-04,Riley Taylor,South,Printer,18,2142160778,38558894004
2022-12-12,Morgan Wilson,Central,Headset,19,834390076,15853411444
2023-01-04,Quinn Davis,East,Webcam,7,518954838,3632683866
2023-03-31,Skyler Johnson,West,Monitor,1,371830663,371830663
2023-07-07,Jamie Davis,North,Monitor,4,418406283,1673625132
2023-06-07,Jordan Davis,Central,Laptop,18,1681890451,30274028118
2023-05-26,Quinn Miller,North,Scanner,13,1046343608,13602466904
2023-08-21,Jamie Miller,Central,Headset,17,762032845,12954558365
2023-09-17,Taylor Davis,East,Keyboard,16,331707534,5307320544
2023-08-29,Riley Johnson,South,Docking Station,5,307557696,1537788480
2022-11-16,Taylor Moore,North,Monitor,2,976471201,1952942402
2023-08-21,Chris Johnson,Central,Docking Station,3,956353767,2869061301
2023-10-23,Riley Davis,West,Headset,19,645447497,12263502443
2023-01-31,Riley Brown,South,Scanner,3,1046177975,3138533925
2022-12-20,Alex Davis,South,Monitor,1,281671845,281671845
2023-03-10,Quinn Moore,Central,Headset,7,2134096642,14938676494
