Date,Customer,Region,Product,Quantity,UnitPrice,Total
2022-05-10,Chris Garcia,South,Webcam,1,1781748000,1781748000
2021-07-07,Skyler Lee,North,Monitor,12,2028774196,24345290352
2022-03-03,Jordan Taylor,North,Scanner,11,1980164944,21781814384
2022-06-02,Taylor Johnson,North,Keyboard,5,1611239691,8056198455
2021-06-07,Jordan Brown,Central,Laptop,4,1585501493,6342005972
2021-12-12,Chris Brown,South,Laptop,17,2108385930,35842560810
2022-01-05,Casey Brown,South,Desk Chair,14,1079342244,15110791416
2021-08-07,Riley Moore,North,Webcam,19,580830556,11035780564
2022-03-15,Jordan Garcia,Central,Monitor,16,1223121017,19569936272
2021-08-11,Skyler Moore,South,Headset,2,44690731,89381462
2021-07-30,Casey Garcia,South,Monitor,9,388562179,3497059611
2021-12-12,Taylor Brown,South,Laptop,13,491672085,6391737105
2022-01-31,Morgan Brown,South,Monitor,19,618270145,11747132755
2021-12-19,Taylor Wilson,North,Printer,8,700561428,5604491424
2021-09-13,Chris Johnson,Central,Desk Chair,12,2136413729,25636964748
2021-08-04,Quinn Brown,South,Printer,3,321286764,963860292
2022-01-18,Taylor Johnson,South,Printer,14,677651780,9487124920
2021-08-31,Alex Johnson,South,Desk Chair,13,1165194050,15147522650
2022-02-19,Jordan Brown,West,Docking Station,13,1792238746,23299103698
2022-05-15,Taylor Moore,West,Keyboard,18,2048564543,36874161774
2022-06-03,Skyler Wilson,North,Printer,16,1206263409,19300214544
2021-10-20,Alex Miller,South,Desk Chair,8,1283373353,10266986824
2022-05-04,Chris Garcia,North,Desk Chair,1,2066116111,2066116111
2021-08-11,Jamie Garcia,North,Webcam,4,456728341,1826913364
2021-07-13,Quinn Lee,South,Keyboard,8,627792029,5022336232
2021-08-17,Quinn Moore,Central,Laptop,4,543590490,2174361960
2021-12-16,Taylor Garcia,Central,Keyboard,19,1480260846,28124956074
2022-05-27,Jordan Miller,North,Monitor,9,219173156,1972558404
2021-08-18,Chris Wilson,East,Monitor,9,535218389,4816965501
2022-04-29,Jordan Smith,North,Printer,7,1916138281,13412967967
2022-05-30,Casey Garcia,North,Scanner,18,337962777,6083329986
2021-08-20,Jordan Wilson,South,Laptop,11,285058046,3135638506
2021-07-10,Chris Moore,South,Docking Station,15,1618900435,24283506525
2021-07-03,Morgan Garcia,North,Mouse,1,869700147,869700147
2022-02-07,Casey Miller,East,Docking Station,1,1659291748,1659291748
2021-12-01,Jamie Davis,North,Desk Chair,17,1119013613,19023231421
2021-11-21,Alex Brown,West,Printer,11,1983017956,21813197516
2021-07-29,Jordan Davis,South,Mouse,3,861376454,2584129362
2021-10-08,Jordan Lee,North,Headset,4,1252368610,5009474440
2022-02-27,Jamie Taylor,West,Monitor,3,180526328,541578984
2021-11-08,Chris Lee,East,Docking Station,9,1919918114,17279263026
2021-12-04,Chris Taylor,Central,Mouse,6,277929085,1667574510
2022-05-08,Jordan Wilson,Central,Desk Chair,13,376688237,4896947081
2021-10-18,Jordan Lee,Central,Mouse,18,828362446,14910524028
2021-07-20,Taylor Taylor,West,Desk Chair,6,1638640846,9831845076
2022-04-06,Jordan Brown,North,Monitor,1,85084901,85084901
2022-03-15,Jamie Johnson,North,Laptop,4,1431888951,5727555804
2021-09-22,Morgan Taylor,Central,Webcam,6,1825900732,10955404392
2022-03-05,Morgan Taylor,West,Monitor,14,732161911,10250266754
2022-03-29,Jamie Wilson,West,Scanner,1,621890939,621890939
2022-03-24,Jamie Brown,West,Headset,3,1509840893,4529522679
2021-06-16,Morgan Wilson,South,Desk Chair,2,1172759565,2345519130
2021-09-06,Taylor Davis,Central,Keyboard,6,239826480,1438958880
2021-08-27,Quinn Smith,South,Printer,2,1482975868,2965951736
2021-06-18,Jamie Johnson,East,Scanner,6,1151063774,6906382644
2021-11-02,Skyler Davis,North,Webcam,6,1980382781,11882296686
2021-10-26,Jordan Moore,Central,Keyboard,13,830158116,10792055508
2022-02-20,Alex Taylor,East,Laptop,10,1685452531,16854525310
2022-01-25,Riley Moore,West,Desk Chair,18,329076484,5923376712
2022-01-17,Alex Davis,Central,Scanner,12,101164535,1213974420
2022-04-23,Jordan Wilson,North,Desk Chair,13,1909172876,24819247388
