Date,Customer,Region,Product,Quantity,UnitPrice,Total
2022-03-04,Casey Smith,East,Keyboard,11,884959977,9734559747
2022-06-22,Quinn Taylor,Central,Laptop,11,1053086678,11583953458
2022-11-25,Casey Brown,West,Webcam,4,1032129827,4128519308
2022-07-24,Skyler Brown,West,Webcam,15,1952157120,29282356800
2022-10-09,Skyler Garcia,South,Docking Station,10,699959697,6999596970
2022-09-13,Riley Wilson,West,Docking Station,1,2030824874,2030824874
2022-10-03,Taylor Smith,West,Laptop,6,797498671,4784992026
2022-10-15,Skyler Johnson,East,Headset,13,688764358,8953936654
2022-05-23,Quinn Smith,North,Monitor,1,913154325,913154325
2022-06-23,Jamie Moore,North,Mouse,15,1088435743,16326536145
2022-03-26,Riley Lee,North,Headset,4,1720012591,6880050364
2022-01-16,Morgan Brown,South,Mouse,10,1602812285,16028122850
2022-08-20,Casey Moore,Central,Scanner,15,832918323,12493774845
2022-08-02,Chris Johnson,South,Webcam,7,22184021,155288147
2022-05-13,Casey Garcia,Central,Laptop,2,639173698,1278347396
2022-07-06,Riley Taylor,South,Headset,19,1321921123,25116501337
2022-10-15,Casey Taylor,East,Webcam,13,1045244724,13588181412
2022-05-01,Riley Taylor,West,Docking Station,4,1142013448,4568053792
2022-09-09,Chris Lee,Central,Docking Station,2,2012568464,4025136928
2022-01-28,Riley Lee,North,Scanner,13,565977300,7357704900
2022-04-14,Casey Moore,South,Headset,12,583456707,7001480484
2022-06-12,Casey Taylor,South,Headset,13,1163700403,15128105239
2022-06-13,Jamie Moore,North,Laptop,14,1935183852,27092573928
2022-11-05,Chris Lee,West,Desk Chair,1,800057349,800057349
2022-07-04,Jordan Garcia,West,Scanner,1,1149543520,1149543520
2022-02-19,Jordan Smith,West,Scanner,13,1280585166,16647607158
2022-01-16,Skyler Johnson,West,Scanner,15,750352724,11255290860
2022-04-16,Quinn Smith,South,Scanner,9,1668305424,15014748816
2022-10-03,Quinn Taylor,North,Mouse,4,1644993702,6579974808
2022-11-15,Jamie Smith,West,Mouse,8,1652491332,13219930656
2022-05-10,Alex Miller,East,Keyboard,14,620993345,8693906830
2022-12-11,Riley Lee,Central,Docking Station,12,451165507,5413986084
2022-08-15,Jordan Smith,East,Docking Station,10,1194725551,11947255510
2022-03-09,Alex Smith,South,Webcam,19,1877620786,35674794934
2022-03-17,Morgan Garcia,South,Docking Station,8,566345340,4530762720
2022-06-29,Taylor Miller,West,Mouse,18,134930384,2428746912
2022-06-01,Quinn Garcia,South,Monitor,10,1904138777,19041387770
2022-09-23,Jamie Taylor,West,Mouse,14,1499313222,20990385108
2022-05-24,Jordan Smith,South,Monitor,18,242944423,4372999614
2022-12-17,Taylor Johnson,South,Scanner,7,1122659519,7858616633
2022-04-29,Morgan Taylor,North,Monitor,13,1380368750,17944793750
2022-12-13,Jordan Miller,North,Mouse,3,620030286,1860090858
2022-03-29,Riley Johnson,West,Laptop,1,1489880117,1489880117
2022-06-15,Alex Johnson,Central,Mouse,9,496822676,4471404084
2022-12-31,Quinn Smith,South,Mouse,3,244462425,733387275
2022-08-28,Jordan Davis,East,Desk Chair,9,1167982105,10511838945
2022-12-21,Casey Wilson,South,Laptop,10,204916669,2049166690
2022-11-03,Riley Taylor,North,Webcam,1,1079834041,1079834041
2022-05-08,Riley Davis,North,Desk Chair,7,275333058,1927331406
2022-06-03,Riley Brown,West,Headset,18,585742219,10543359942
2022-11-05,Riley Miller,North,Scanner,11,1142567212,12568239332
2022-09-21,Jordan Johnson,West,Laptop,10,1994026910,19940269100
2022-02-02,Jordan Lee,East,Scanner,9,1637978109,14741802981
2022-08-03,Jamie Wilson,East,Printer,12,2003716844,24044602128
2022-09-13,Riley Johnson,East,Webcam,14,1236800927,17315212978
2022-11-22,Morgan Miller,West,Headset,7,272483873,1907387111
2022-08-20,Jordan Moore,South,Monitor,12,1801959702,21623516424
2022-01-11,Skyler Miller,East,Keyboard,1,1828857165,1828857165
2022-02-06,Quinn Smith,West,Scanner,12,149508620,1794103440
2022-08-25,Jamie Taylor,West,Headset,17,506075167,8603277839
2022-10-26,Jordan Lee,North,Mouse,18,1525181632,27453269376
2022-12-06,Quinn Smith,South,Desk Chair,2,1084463669,2168927338
2022-12-23,Jamie Johnson,East,Laptop,9,2067319228,18605873052
2022-04-30,Skyler Miller,North,Headset,8,465975261,3727802088
2022-02-14,Quinn Moore,Central,Keyboard,8,1730509797,13844078376
2022-04-27,Taylor Smith,South,Monitor,3,461195339,1383586017
2022-04-13,Riley Johnson,East,Docking Station,13,684165259,8894148367
2022-05-27,Chris Lee,North,Laptop,11,652423343,7176656773
2022-05-30,Jamie Taylor,South,Printer,8,347137528,2777100224
2022-08-13,Casey Miller,North,Laptop,5,258848416,1294242080
2022-08-18,Alex Miller,East,Docking Station,17,506492937,8610379929
2022-03-26,Morgan Brown,East,Printer,7,852948115,5970636805
2023-01-01,Chris Taylor,North,Scanner,19,711003024,13509057456
2022-11-27,Casey Smith,North,Docking Station,5,1614062035,8070310175
