Date,Customer,Region,Product,Quantity,UnitPrice,Total
2020-11-25,Casey Miller,North,Laptop,7,635632706,4449428942
2020-04-11,Skyler Johnson,North,Docking Station,10,1017610190,10176101900
2020-12-11,Casey Moore,Central,Printer,14,1996395604,27949538456
2020-04-17,Taylor Lee,East,Webcam,2,1130333452,2260666904
2020-04-25,Taylor Johnson,South,Scanner,5,70946381,354731905
2020-07-25,Riley Johnson,West,Monitor,8,485400632,3883205056
2020-09-26,Taylor Brown,South,Laptop,4,328903948,1315615792
2020-10-02,Jamie Wilson,Central,Monitor,2,1040067367,2080134734
2021-01-04,Taylor Garcia,East,Headset,3,1176594546,3529783638
2020-04-18,Jordan Wilson,South,Laptop,7,1007068063,7049476441
2021-03-02,Riley Lee,East,Scanner,3,1639993718,4919981154
2020-10-26,Chris Moore,North,Keyboard,15,881875778,13228136670
2021-03-09,Casey Lee,East,Laptop,14,48483606,678770484
2020-08-20,Jamie Smith,South,Headset,8,1015708130,8125665040
2020-09-20,Quinn Davis,North,Laptop,9,392630709,3533676381
2020-06-04,Riley Lee,South,Webcam,1,1427291873,1427291873
2020-10-23,Quinn Wilson,North,Printer,11,292383139,3216214529
2020-05-11,Chris Johnson,East,Webcam,1,1003821288,1003821288
2020-11-03,Skyler Smith,West,Keyboard,16,1480215501,23683448016
2020-09-01,Riley Taylor,South,Mouse,3,1684485935,5053457805
2021-01-25,Taylor Wilson,East,Mouse,12,1425405900,17104870800
2021-02-25,Jordan Wilson,East,Mouse,9,775809722,6982287498
2020-08-05,Quinn Smith,Central,Scanner,10,1966908570,19669085700
2020-06-28,Casey Taylor,East,Headset,18,46403610,835264980
2021-02-08,Morgan Garcia,East,Laptop,6,1474255123,8845530738
2020-03-23,Casey Wilson,North,Desk Chair,1,152776093,152776093
2021-02-21,Chris Moore,West,Webcam,4,1710164990,6840659960
2020-04-06,Chris Garcia,East,Desk Chair,14,239251185,3349516590
2020-11-21,Riley Wilson,Central,Docking Station,5,766801111,3834005555
2020-07-31,Morgan Smith,South,Laptop,19,2009357220,38177787180
2021-03-01,Chris Moore,East,Keyboard,16,1369302193,21908835088
2021-02-06,Skyler Johnson,West,Webcam,5,996347852,4981739260
2021-01-16,Morgan Moore,East,Laptop,2,1007309412,2014618824
2021-02-20,Jamie Brown,West,Laptop,4,36810759,147243036
2020-05-20,Quinn Taylor,East,Webcam,1,198595071,198595071
2021-02-17,Chris Smith,East,Printer,1,821077594,821077594
2020-09-15,Taylor Brown,North,Headset,1,567833524,567833524
2020-04-14,Jamie Davis,North,Headset,11,458769577,5046465347
2021-01-11,Jordan Miller,East,Desk Chair,17,1702417694,28941100798
2020-04-19,Chris Taylor,South,Laptop,2,1752262872,3504525744
2020-12-29,Riley Lee,East,Webcam,10,2084233568,20842335680
2020-09-09,Jordan Lee,South,Keyboard,18,475974610,8567542980
2021-01-15,Casey Taylor,North,Keyboard,5,1580242327,7901211635
2020-03-25,Skyler Miller,North,Docking Station,8,205083821,1640670568
2021-01-27,Riley Garcia,East,Laptop,2,1104024211,2208048422
2020-06-17,Casey Davis,East,Printer,12,1006971341,12083656092
2021-01-10,Riley Garcia,Central,Headset,15,1930489942,28957349130
