Date,Customer,Region,Product,Quantity,UnitPrice,Total
2022-03-10,Taylor Lee,North,Desk Chair,7,1249197625,8744383375
2021-06-15,Jordan Davis,West,Webcam,2,1961626785,3923253570
2022-03-27,Chris Lee,Central,Laptop,9,613776940,5523992460
2022-03-10,Jordan Moore,South,Webcam,17,215010448,3655177616
2021-10-27,Jamie Smith,East,Docking Station,19,462330767,8784284573
2021-09-24,Taylor Garcia,Central,Headset,8,1549819981,12398559848
2022-02-22,Taylor Taylor,South,Mouse,2,2013331243,4026662486
2021-10-28,Quinn Davis,East,Laptop,9,1180686020,10626174180
2021-10-23,Morgan Lee,East,Printer,1,924034986,924034986
2021-09-05,Jordan Smith,North,Scanner,5,1979926177,9899630885
2022-05-06,Jamie Taylor,North,Printer,1,33167696,33167696
2021-10-05,Jordan Garcia,West,Monitor,8,685813887,5486511096
2022-03-25,Quinn Taylor,South,Desk Chair,9,1415545265,12739907385
2022-05-07,Jamie Taylor,South,Mouse,7,797150775,5580055425
2022-01-03,Casey Garcia,East,Desk Chair,10,1027349958,10273499580
2022-06-02,Jamie Moore,Central,Monitor,7,526023288,3682163016
2022-01-18,Chris Taylor,Central,Printer,18,602345101,10842211818
2022-04-24,Jordan Davis,West,Printer,10,2093244351,20932443510
2022-02-15,Riley Brown,West,Headset,16,1804638809,28874220944
2022-03-20,Chris Lee,South,Desk Chair,15,1896013357,28440200355
2022-01-26,Casey Wilson,North,Printer,17,1131478220,19235129740
2021-07-01,Quinn Moore,West,Scanner,18,792808572,14270554296
2021-11-13,Taylor Moore,South,Webcam,4,982768092,3931072368
2022-05-26,Taylor Lee,West,Keyboard,4,527160440,2108641760
2022-03-26,Taylor Johnson,West,Desk Chair,9,1904035639,17136320751
2021-11-14,Skyler Moore,Central,Keyboard,14,938563689,13139891646
2021-10-20,Jamie Brown,East,Headset,17,2031898914,34542281538
2021-06-28,Casey Taylor,North,Headset,3,326898362,980695086
2021-12-14,Morgan Davis,Central,Docking Station,9,1807322926,16265906334
2021-08-30,Alex Brown,West,Printer,13,455707915,5924202895
2021-07-06,Quinn Johnson,East,Keyboard,14,334695773,4685740822
2022-02-15,Alex Smith,South,Docking Station,7,2130853039,14915971273
2022-01-12,Taylor Smith,East,Docking Station,17,703969266,11967477522
2021-10-27,Chris Taylor,South,Webcam,11,1301219737,14313417107
2021-11-21,Chris Lee,East,Laptop,5,370952118,1854760590
2021-08-11,Casey Brown,North,Scanner,17,519206825,8826516025
2021-08-26,Alex Brown,West,Printer,6,299934103,1799604618
2022-05-11,Alex Miller,West,Mouse,15,1038619807,15579297105
2022-04-24,Casey Johnson,West,Headset,13,1310263263,17033422419
2022-01-23,Jordan Garcia,East,Scanner,13,1891549767,24590146971
2021-08-29,Quinn Wilson,Central,Mouse,2,74545119,149090238
2022-03-02,Quinn Lee,North,Headset,12,1830317441,21963809292
2021-07-13,Skyler Wilson,East,Keyboard,18,1128583452,20314502136
2022-05-10,Casey Wilson,Central,Mouse,2,713031813,1426063626
2021-11-30,Jamie Miller,South,Keyboard,18,1929605220,34732893960
2021-10-18,Jamie Wilson,East,Keyboard,6,960656475,5763938850
2021-08-10,Jamie Moore,South,Headset,18,628036521,11304657378
2021-08-24,Skyler Lee,West,Headset,10,1459325966,14593259660
2021-09-09,Alex Garcia,North,Monitor,11,1361355997,14974915967
2021-09-16,Jordan Garcia,Central,Docking Station,6,966307256,5797843536
2021-09-15,Morgan Lee,Central,Printer,18,1856126640,33410279520
2022-01-18,Quinn Moore,North,Laptop,13,1900092861,24701207193
2021-12-15,Casey Taylor,South,Mouse,1,2131379355,2131379355
2021-11-07,Chris Wilson,West,Webcam,13,1780588196,23147646548
2022-01-25,Jordan Brown,North,Desk Chair,16,2031192640,32499082240
2021-11-08,Chris Taylor,South,Laptop,7,941837026,6592859182
2021-09-24,Skyler Smith,Central,Laptop,12,1091672339,13100068068
2021-07-11,Quinn Moore,North,Laptop,19,1352095538,25689815222
2022-02-06,Riley Miller,North,Printer,11,905288734,9958176074
2022-02-23,Chris Moore,West,Mouse,4,426406654,1705626616
2022-03-26,Quinn Davis,West,Monitor,14,1610099257,22541389598
2022-06-04,Skyler Taylor,North,Printer,8,449899936,3599199488
2021-12-14,Riley Johnson,East,Docking Station,15,766337162,11495057430
2021-09-08,Chris Brown,East,Desk Chair,3,105061092,315183276
2021-11-08,Jamie Miller,East,Printer,3,1535654260,4606962780
2021-09-07,Riley Smith,West,Laptop,8,724463448,5795707584
2021-07-11,Chris Lee,East,Webcam,1,284634551,284634551
2021-10-17,Skyler Davis,South,Scanner,2,1293691206,2587382412
2022-05-13,Morgan Moore,South,Keyboard,6,1060980137,6365880822
2021-07-30,Jordan Miller,South,Docking Station,9,1049184067,9442656603
2021-09-17,Jordan Lee,East,Headset,10,999380881,9993808810
2021-09-28,Riley Moore,North,Docking Station,18,1590014973,28620269514
2021-08-05,Casey Miller,East,Scanner,2,2140553211,4281106422
2021-10-13,Morgan Garcia,East,Laptop,6,1817687741,10906126446
2022-02-02,Skyler Miller,East,Mouse,12,1084344193,13012130316
2022-04-21,Alex Garcia,North,Keyboard,4,334279692,1337118768
2022-04-09,Jordan Moore,South,Docking Station,14,1057074625,14799044750
2021-09-20,Skyler Miller,Central,Docking Station,2,1395685070,2791370140
2022-04-21,Taylor Taylor,South,Monitor,18,503570134,9064262412
2022-01-26,Riley Johnson,South,Keyboard,10,430758368,4307583680
2021-10-31,Casey Smith,North,Scanner,11,804992724,8854919964
2022-06-02,Morgan Moore,West,Docking Station,6,445227545,2671365270
2021-12-21,Casey Davis,West,Scanner,1,1387861146,1387861146
2021-06-23,Alex Moore,West,Desk Chair,14,451667777,6323348878
2022-02-02,Skyler Brown,West,Laptop,19,1316186020,25007534380
2021-10-27,Morgan Brown,North,Keyboard,6,589005675,3534034050
2021-08-10,Chris Wilson,North,Mouse,12,421194976,5054339712
2021-08-24,Morgan Johnson,East,Scanner,8,537431181,4299449448
2021-08-25,Quinn Taylor,East,Mouse,4,1509618365,6038473460
