Date,Customer,Region,Product,Quantity,UnitPrice,Total
2020-07-11,Jordan Davis,East,Docking Station,3,825462195,2476386585
2020-10-21,Morgan Johnson,West,Monitor,7,1404168829,9829181803
2020-12-25,Quinn Garcia,East,Monitor,2,2026030758,4052061516
2020-12-23,Quinn Brown,North,Desk Chair,9,806016,7254144
2020-10-03,Casey Moore,West,Printer,3,1702188462,5106565386
2020-04-17,Jamie Johnson,East,Desk Chair,13,1107364163,14395734119
2020-11-06,Quinn Wilson,Central,Printer,8,1237627210,9901017680
2020-08-15,Quinn Brown,East,Scanner,9,1164240128,10478161152
2020-09-14,Jordan Miller,Central,Webcam,18,1971192756,35481469608
2020-09-03,Casey Moore,West,Mouse,17,470003346,7990056882
2020-08-03,Alex Johnson,North,Mouse,11,497909446,5477003906
2020-07-01,Riley Davis,South,Mouse,8,1615451668,12923613344
2020-09-27,Quinn Wilson,Central,Desk Chair,11,1690768648,18598455128
2020-04-30,Jamie Miller,West,Headset,16,1913720353,30619525648
2020-10-15,Casey Miller,East,Desk Chair,17,2002415838,34041069246
2020-02-07,Jordan Miller,West,Printer,10,1532566974,15325669740
2020-12-06,Riley Brown,South,Keyboard,16,1381567306,22105076896
2020-08-19,Alex Johnson,West,Monitor,3,233118415,699355245
2020-02-15,Jamie Miller,West,Desk Chair,13,1753160795,22791090335
2020-07-01,Jordan Davis,Central,Monitor,4,543848278,2175393112
2020-01-26,Riley Wilson,East,Printer,15,1709531928,25642978920
2020-10-16,Alex Wilson,North,Printer,11,1232468450,13557152950
2020-07-13,Casey Brown,East,Laptop,16,493270385,7892326160
2021-01-06,Alex Miller,Central,Docking Station,8,1032737620,8261900960
2020-09-06,Casey Johnson,North,Docking Station,7,65694970,459864790
2020-10-21,Casey Miller,North,Monitor,11,1619308661,17812395271
2020-04-01,Alex Smith,East,Laptop,17,1044420067,17755141139
2020-05-27,Alex Lee,West,Docking Station,4,1945459441,7781837764
2020-05-24,Morgan Davis,South,Monitor,1,1968757181,1968757181
2020-03-25,Jordan Miller,East,Mouse,9,2044894789,18404053101
2020-08-30,Taylor Garcia,Central,Scanner,7,1387045772,9709320404
2020-03-05,Chris Taylor,South,Desk Chair,9,1282235577,11540120193
2020-10-04,Morgan Davis,Central,Keyboard,4,1079218114,4316872456
2020-05-01,Alex Wilson,East,Monitor,4,1789439795,7157759180
2020-12-18,Skyler Moore,West,Webcam,6,210850665,1265103990
2020-11-15,Jordan Moore,North,Webcam,13,789240407,10260125291
2020-03-05,Jamie Miller,South,Keyboard,4,1607290255,6429161020
2020-05-04,Casey Lee,South,Printer,2,1846491894,3692983788
2020-04-27,Quinn Lee,North,Desk Chair,11,927991369,10207905059
2020-08-28,Casey Taylor,North,Mouse,6,625375968,3752255808
2020-04-01,Alex Miller,Central,Scanner,7,398965874,2792761118
2020-01-25,Skyler Wilson,North,Mouse,18,1835393345,33037080210
2020-12-04,Casey Brown,South,Printer,7,1516929255,10618504785
2020-07-13,Taylor Brown,North,Keyboard,7,904190463,6329333241
2020-07-10,Chris Brown,West,Monitor,2,1740489143,3480978286
2020-07-01,Chris Taylor,Central,Desk Chair,10,1972884574,19728845740
2020-02-23,Taylor Davis,East,Keyboard,2,286358067,572716134
2020-07-20,Alex Garcia,West,Docking Station,2,2113063826,4226127652
2020-05-11,Jamie Lee,West,Mouse,9,276377526,2487397734
2020-11-05,Chris Miller,Central,Headset,9,1821613333,16394519997
2020-08-29,Morgan Smith,North,Monitor,3,1686701016,5060103048
2020-09-13,Quinn Johnson,North,Keyboard,1,414343035,414343035
2020-03-31,Taylor Smith,Central,Headset,6,844631976,5067791856
2020-03-18,Taylor Wilson,Central,Headset,11,1648666161,18135327771
2020-11-03,Skyler Davis,West,Desk Chair,16,159213695,2547419120
2020-12-18,Taylor Taylor,East,Webcam,13,1246874457,16209367941
2020-06-08,Jordan Brown,East,Desk Chair,9,1537095806,13833862254
2020-09-27,Riley Wilson,Central,Desk Chair,12,812526044,9750312528
2020-04-24,Alex Miller,Central,Printer,11,175923939,1935163329
2020-07-04,Morgan Miller,North,Monitor,4,1863860499,7455441996
2020-01-21,Taylor Taylor,East,Docking Station,4,114318677,457274708
2020-08-07,Riley Johnson,Central,Scanner,17,245183784,4168124328
2020-01-31,Morgan Brown,North,Laptop,12,748282818,8979393816
2020-07-13,Quinn Miller,West,Printer,6,2144506859,12867041154
2020-03-14,Casey Davis,North,Scanner,15,684046397,10260695955
2020-12-31,Jordan Taylor,North,Mouse,7,909676054,6367732378
2020-02-03,Alex Brown,East,Webcam,1,1327575683,1327575683
2020-11-04,Taylor Miller,West,Desk Chair,4,1200396000,4801584000
2020-03-26,Morgan Davis,East,Docking Station,3,1362906492,4088719476
2020-06-14,Jamie Lee,West,Monitor,16,1619485575,25911769200
2020-12-16,Riley Johnson,North,Monitor,9,55802442,502221978
2020-08-07,Taylor Miller,South,Docking Station,8,1396760290,11174082320
2020-08-21,Riley Taylor,Central,Mouse,11,1697141149,18668552639
2020-03-11,Morgan Smith,South,Desk Chair,5,659482433,3297412165
2020-02-06,Jordan Miller,West,Desk Chair,1,435281959,435281959
2020-03-16,Riley Lee,Central,Docking Station,16,273487255,4375796080
2020-05-21,Skyler Wilson,Central,Printer,15,674709003,10120635045
2020-03-13,Chris Johnson,West,Monitor,9,216802608,1951223472
2020-12-12,Jordan Wilson,Central,Docking Station,6,1078791897,6472751382
2020-08-11,Taylor Miller,West,Keyboard,9,555737811,5001640299
2020-03-12,Alex Taylor,South,Headset,4,880684450,3522737800
2020-07-27,Chris Wilson,Central,Desk Chair,8,1831401727,14651213816
