Date,Customer,Region,Product,Quantity,UnitPrice,Total
2023-05-15,Riley Davis,Central,Docking Station,17,1733752884,29473799028
2023-01-31,Skyler Taylor,East,Webcam,1,1113117276,1113117276
2022-12-06,Taylor Lee,West,Printer,14,995377132,13935279848
2023-01-03,Alex Johnson,Central,Scanner,15,425147917,6377218755
2023-01-26,Alex Lee,South,Headset,17,1524896777,25923245209
2023-05-07,Morgan Garcia,Central,Desk Chair,5,371535800,1857679000
2023-03-12,Riley Miller,East,Laptop,7,1806092467,12642647269
2023-01-08,Taylor Moore,North,Webcam,10,1335455920,13354559200
2023-01-20,Alex Miller,Central,Desk Chair,11,112240655,1234647205
2023-05-25,Jordan Lee,East,Headset,19,1954635668,37138077692
2022-10-13,Taylor Smith,South,Docking Station,9,878667748,7908009732
2023-06-10,Quinn Brown,Central,Laptop,18,1657807219,29840529942
2023-04-03,Skyler Taylor,Central,Webcam,14,1619019218,22666269052
2023-02-03,Taylor Davis,North,Docking Station,15,58661674,879925110
2022-10-19,Quinn Smith,East,Headset,7,827227265,5790590855
2023-05-01,Skyler Smith,West,Docking Station,18,152926635,2752679430
2022-10-10,Jamie Davis,South,Headset,8,139100928,1112807424
2023-01-30,Morgan Miller,East,Laptop,11,1855291613,20408207743
2023-02-17,Alex Brown,North,Webcam,13,1546956472,20110434136
2022-12-22,Morgan Wilson,Central,Headset,19,1835209655,34868983445
2022-10-09,Casey Garcia,East,Docking Station,8,949040541,7592324328
2023-02-11,Chris Wilson,North,Monitor,7,1581639970,11071479790
2022-12-01,Casey Johnson,Central,Docking Station,9,949206850,8542861650
2023-05-03,Taylor Brown,West,Laptop,10,2106721302,21067213020
2022-07-16,Morgan Garcia,West,Desk Chair,9,992863595,8935772355
2022-12-14,Jamie Davis,Central,Printer,3,266055115,798165345
2023-06-09,Quinn Wilson,West,Monitor,3,452588057,1357764171
2022-09-11,Jamie Johnson,Central,Webcam,9,20870649,187835841
2022-06-17,Jamie Moore,West,Monitor,12,1357083719,16285004628
2023-01-14,Jamie Wilson,South,Laptop,7,1011207933,7078455531
2023-01-11,Skyler Brown,North,Mouse,19,1833998895,34845979005
2022-08-16,Taylor Brown,North,Printer,11,35252909,387781999
2023-03-20,Riley Smith,North,Headset,8,1444487698,11555901584
2023-03-30,Riley Smith,North,Webcam,16,1666229446,26659671136
2022-10-19,Jamie Brown,South,Docking Station,13,801634038,10421242494
2022-09-28,Skyler Taylor,Central,Docking Station,8,1254364278,10034914224
2023-05-13,Chris Davis,South,Laptop,16,1560933315,24974933040
2023-01-22,Skyler Wilson,East,Mouse,15,1765476033,26482140495
2022-09-15,Riley Wilson,West,Scanner,9,907980782,8171827038
2023-05-06,Riley Moore,South,Headset,5,590654743,2953273715
2023-04-25,Jordan Miller,East,Monitor,4,608090426,2432361704
2023-05-26,Taylor Garcia,West,Monitor,13,682464363,8872036719
2022-07-25,Jamie Johnson,South,Mouse,15,1794683186,26920247790
2023-04-18,Skyler Wilson,North,Docking Station,14,972525533,13615357462
2023-04-17,Skyler Taylor,West,Printer,4,1329502283,5318009132
2022-09-23,Casey Lee,Central,Desk Chair,6,1019571989,6117431934
2022-08-23,Casey Johnson,West,Scanner,4,1974452298,7897809192
2022-12-04,Skyler Brown,East,Printer,16,1065972624,17055561984
2023-04-29,Riley Johnson,North,Headset,12,1633486161,19601833932
2022-10-14,Morgan Moore,South,Webcam,15,47663837,714957555
2022-08-05,Casey Lee,West,Desk Chair,19,1775965545,33743345355
2022-07-04,Jamie Smith,South,Laptop,15,1877172258,28157583870
2022-11-19,Chris Taylor,East,Desk Chair,3,2078564008,6235692024
2023-05-03,Jordan Lee,North,Printer,15,1772756138,26591342070
2023-03-24,Morgan Garcia,West,Printer,11,1008700586,11095706446
2022-12-26,Jamie Wilson,North,Headset,1,1606994769,1606994769
2023-06-01,Skyler Smith,West,Keyboard,1,1477949914,1477949914
2022-08-13,Taylor Lee,North,Docking Station,15,544120845,8161812675
2022-09-20,Morgan Taylor,Central,Scanner,10,1807976135,18079761350
2022-11-04,Morgan Lee,West,Scanner,8,1471576274,11772610192
2023-01-14,Alex Miller,West,Mouse,2,1021308518,2042617036
2023-04-08,Quinn Garcia,West,Scanner,3,60717453,182152359
2023-01-04,Quinn Brown,North,Scanner,3,50940191,152820573
2023-06-07,Quinn Smith,Central,Monitor,12,604678839,7256146068
2022-08-15,Skyler Garcia,Central,Scanner,9,1787443971,16086995739
2023-02-15,Morgan Wilson,East,Headset,2,1935560591,3871121182
2022-10-03,Morgan Lee,North,Docking Station,17,1360166124,23122824108
2022-12-03,Skyler Miller,East,Headset,10,563541520,5635415200
2023-04-23,Jordan Moore,North,Docking Station,17,1385997507,23561957619
2023-03-14,Morgan Wilson,North,Scanner,18,1203120559,21656170062
2022-09-23,Quinn Wilson,South,Desk Chair,4,1613379812,6453519248
2023-02-12,Casey Wilson,South,Laptop,16,2127714737,34043435792
