Date,Customer,Region,Product,Quantity,UnitPrice,Total
2022-08-13,Riley Wilson,Central,Headset,5,1414863462,7074317310
2023-01-10,Casey Taylor,East,Monitor,14,578230877,8095232278
2023-01-06,Quinn Garcia,Central,Keyboard,16,18128078,290049248
2022-08-14,Alex Taylor,Central,Desk Chair,3,1697516891,5092550673
2023-05-03,Riley Davis,Central,Webcam,4,2054336512,8217346048
2023-02-23,Taylor Lee,South,Printer,12,280517178,3366206136
2022-09-07,Riley Garcia,East,Desk Chair,17,31673583,538450911
2022-11-09,Quinn Johnson,East,Headset,4,1082089362,4328357448
2023-06-10,Quinn Miller,North,Webcam,8,1564158496,12513267968
2023-02-14,Skyler Brown,West,Webcam,7,1026040827,7182285789
2022-12-16,Chris Taylor,East,Desk Chair,19,558298877,10607678663
2022-09-21,Quinn Miller,Central,Printer,8,834699030,6677592240
2022-12-08,Morgan Moore,Central,Desk Chair,2,1425337623,2850675246
2022-09-19,Riley Taylor,North,Mouse,2,1075617782,2151235564
2022-09-28,Chris Smith,South,Webcam,15,160177465,2402661975
2022-07-05,Taylor Garcia,North,Docking Station,2,1006441289,2012882578
2022-08-18,Quinn Moore,West,Desk Chair,18,2105325858,37895865444
2023-05-12,Jamie Miller,Central,Mouse,6,1550979422,9305876532
2023-03-09,Chris Smith,South,Keyboard,16,1527428145,24438850320
2022-09-08,Morgan Smith,East,Headset,1,471333497,471333497
2022-09-25,Skyler Garcia,West,Keyboard,14,759059484,10626832776
2023-04-10,Riley Wilson,East,Keyboard,12,266510777,3198129324
2022-10-05,Morgan Garcia,North,Printer,6,312180778,1873084668
2022-12-28,Jordan Lee,South,Printer,6,496609199,2979655194
2022-07-30,Riley Brown,North,Scanner,14,576829197,8075608758
2023-06-15,Skyler Lee,South,Webcam,15,1107251148,16608767220
2022-07-17,Jordan Moore,East,Laptop,8,561680419,4493443352
2022-10-21,Jordan Garcia,West,Docking Station,19,1600906764,30417228516
2023-03-15,Jordan Lee,East,Monitor,3,806391734,2419175202
2023-02-03,Casey Davis,East,Mouse,13,477202299,6203629887
2023-05-11,Morgan Moore,South,Monitor,19,1914863207,36382400933
2022-11-13,Skyler Miller,West,Headset,10,1076525096,10765250960
2022-08-27,Skyler Johnson,Central,Printer,13,940300553,12223907189
2023-04-07,Chris Davis,West,Monitor,9,1774383223,15969449007
2023-04-03,Jamie Taylor,North,Printer,7,2019909785,14139368495
2022-07-04,Taylor Taylor,Central,Keyboard,18,482276264,8680972752
2022-07-15,Casey Lee,Central,Headset,10,272478841,2724788410
2023-01-01,Jamie Miller,South,Keyboard,17,504679502,8579551534
2022-09-29,Skyler Brown,West,Webcam,17,2036468553,34619965401
2022-11-17,Jordan Brown,North,Printer,12,1182709635,14192515620
2023-05-24,Casey Johnson,South,Mouse,11,805772536,8863497896
2023-05-31,Quinn Wilson,North,Webcam,17,820577724,13949821308
2022-08-18,Alex Wilson,South,Mouse,19,724048757,13756926383
2023-04-08,Skyler Wilson,South,Printer,1,485681148,485681148
2022-09-23,Morgan Taylor,West,Headset,14,33388500,467439000
2022-08-29,Chris Miller,Central,Laptop,13,1745332083,22689317079
2023-04-06,Jamie Brown,West,Mouse,9,203759878,1833838902
2023-04-01,Casey Johnson,South,Docking Station,7,791213827,5538496789
2022-10-26,Morgan Garcia,East,Monitor,19,533960953,10145258107
2022-09-13,Quinn Johnson,North,Printer,6,412620277,2475721662
2023-05-28,Riley Smith,Central,Desk Chair,8,1732157496,13857259968
2022-07-24,Casey Brown,East,Headset,3,538774196,1616322588
2022-12-21,Jordan Johnson,North,Docking Station,16,1422254862,22756077792
2022-12-01,Morgan Brown,North,Laptop,17,594676731,10109504427
2022-09-27,Riley Lee,East,Keyboard,3,682975887,2048927661
2022-09-22,Morgan Wilson,West,Mouse,10,1644933292,16449332920
2022-08-28,Riley Moore,South,Desk Chair,9,1084693221,9762238989
